Timestamp,Coin ID,Name,Price (USD),24h Change (%)
2026-07-05 22:28:49,bitcoin,Bitcoin,62671,-0.39199
2026-07-05 22:28:49,ethereum,Ethereum,1779.22,-0.34339
2026-07-05 22:28:49,solana,Solana,81.11,-1.24225
2026-07-05 22:28:49,cardano,Cardano,0.19036,-2.71578
2026-07-05 22:28:59,bitcoin,Bitcoin,62671,-0.39199
2026-07-05 22:28:59,ethereum,Ethereum,1779.22,-0.34339
2026-07-05 22:28:59,solana,Solana,81.11,-1.24225
2026-07-05 22:28:59,cardano,Cardano,0.19036,-2.71578
2026-07-05 22:29:11,bitcoin,Bitcoin,62671,-0.39199
2026-07-05 22:29:11,ethereum,Ethereum,1779.22,-0.34339
2026-07-05 22:29:11,solana,Solana,81.11,-1.24225
2026-07-05 22:29:11,cardano,Cardano,0.19036,-2.71578
2026-07-05 22:29:22,bitcoin,Bitcoin,62671,-0.39199
2026-07-05 22:29:22,ethereum,Ethereum,1779.22,-0.34339
2026-07-05 22:29:22,solana,Solana,81.11,-1.24225
2026-07-05 22:29:22,cardano,Cardano,0.19036,-2.71578
2026-07-05 22:29:33,bitcoin,Bitcoin,62671,-0.39199
2026-07-05 22:29:33,ethereum,Ethereum,1779.22,-0.34339
2026-07-05 22:29:33,solana,Solana,81.11,-1.24225
2026-07-05 22:29:33,cardano,Cardano,0.19036,-2.71578
2026-07-05 22:29:45,bitcoin,Bitcoin,62671,-0.39199
2026-07-05 22:29:45,ethereum,Ethereum,1779.22,-0.34339
2026-07-05 22:29:45,solana,Solana,81.11,-1.24225
2026-07-05 22:29:45,cardano,Cardano,0.19036,-2.71578
2026-07-05 22:29:56,bitcoin,Bitcoin,62642,-0.43749
2026-07-05 22:29:56,ethereum,Ethereum,1777.92,-0.41624
2026-07-05 22:29:56,solana,Solana,81.09,-1.26123
2026-07-05 22:29:56,cardano,Cardano,0.190311,-2.7404
2026-07-05 22:30:07,bitcoin,Bitcoin,62642,-0.43749
2026-07-05 22:30:07,ethereum,Ethereum,1777.92,-0.41624
2026-07-05 22:30:07,solana,Solana,81.09,-1.26123
2026-07-05 22:30:07,cardano,Cardano,0.190311,-2.7404
2026-07-05 22:30:18,bitcoin,Bitcoin,62642,-0.43749
2026-07-05 22:30:18,ethereum,Ethereum,1777.92,-0.41624
2026-07-05 22:30:18,solana,Solana,81.09,-1.26123
2026-07-05 22:30:18,cardano,Cardano,0.190311,-2.7404
2026-07-05 22:30:29,bitcoin,Bitcoin,62642,-0.43749
2026-07-05 22:30:29,ethereum,Ethereum,1777.92,-0.41624
2026-07-05 22:30:29,solana,Solana,81.09,-1.26123
2026-07-05 22:30:29,cardano,Cardano,0.190311,-2.7404
2026-07-05 22:30:40,bitcoin,Bitcoin,62642,-0.43749
2026-07-05 22:30:40,ethereum,Ethereum,1777.92,-0.41624
2026-07-05 22:30:40,solana,Solana,81.09,-1.26123
2026-07-05 22:30:40,cardano,Cardano,0.190311,-2.7404
2026-07-05 22:30:51,bitcoin,Bitcoin,62642,-0.43749
2026-07-05 22:30:51,ethereum,Ethereum,1777.92,-0.41624
2026-07-05 22:30:51,solana,Solana,81.09,-1.26123
2026-07-05 22:30:51,cardano,Cardano,0.190311,-2.7404
2026-07-05 22:31:03,bitcoin,Bitcoin,62636,-0.67732
2026-07-05 22:31:03,ethereum,Ethereum,1777.74,-0.61585
2026-07-05 22:31:03,solana,Solana,81.06,-1.29714
2026-07-05 22:31:03,cardano,Cardano,0.190301,-2.7459
2026-07-05 22:31:14,bitcoin,Bitcoin,62636,-0.67732
2026-07-05 22:31:14,ethereum,Ethereum,1777.74,-0.61585
2026-07-05 22:31:14,solana,Solana,81.06,-1.29714
2026-07-05 22:31:14,cardano,Cardano,0.190301,-2.7459
2026-07-05 22:31:25,bitcoin,Bitcoin,62636,-0.67732
2026-07-05 22:31:25,ethereum,Ethereum,1777.74,-0.61585
2026-07-05 22:31:25,solana,Solana,81.06,-1.29714
2026-07-05 22:31:25,cardano,Cardano,0.190301,-2.7459
2026-07-05 22:32:42,bitcoin,Bitcoin,62645,-0.66364
2026-07-05 22:32:42,ethereum,Ethereum,1778.61,-0.56725
2026-07-05 22:32:42,solana,Solana,81.06,-1.41026
2026-07-05 22:32:42,cardano,Cardano,0.190287,-2.64095
2026-07-05 22:32:53,bitcoin,Bitcoin,62645,-0.66364
2026-07-05 22:32:53,ethereum,Ethereum,1778.61,-0.56725
2026-07-05 22:32:53,solana,Solana,81.06,-1.41026
2026-07-05 22:32:53,cardano,Cardano,0.190287,-2.64095
2026-07-05 22:33:03,bitcoin,Bitcoin,62645,-0.66364
2026-07-05 22:33:03,ethereum,Ethereum,1778.61,-0.56725
2026-07-05 22:33:03,solana,Solana,81.06,-1.41026
2026-07-05 22:33:03,cardano,Cardano,0.190287,-2.64095
2026-07-05 22:34:21,bitcoin,Bitcoin,62650,-0.65463
2026-07-05 22:34:21,ethereum,Ethereum,1778.54,-0.57102
2026-07-05 22:34:21,solana,Solana,81.07,-1.55765
2026-07-05 22:34:21,cardano,Cardano,0.190226,-3.15162
2026-07-05 22:34:32,bitcoin,Bitcoin,62650,-0.65463
2026-07-05 22:34:32,ethereum,Ethereum,1778.54,-0.57102
2026-07-05 22:34:32,solana,Solana,81.07,-1.55765
2026-07-05 22:34:32,cardano,Cardano,0.190226,-3.15162
2026-07-05 22:34:43,bitcoin,Bitcoin,62650,-0.65463
2026-07-05 22:34:43,ethereum,Ethereum,1778.54,-0.57102
2026-07-05 22:34:43,solana,Solana,81.07,-1.55765
2026-07-05 22:34:43,cardano,Cardano,0.190226,-3.15162
2026-07-05 22:34:53,bitcoin,Bitcoin,62650,-0.65463
2026-07-05 22:34:53,ethereum,Ethereum,1778.54,-0.57102
2026-07-05 22:34:53,solana,Solana,81.07,-1.55765
2026-07-05 22:34:53,cardano,Cardano,0.190226,-3.15162
2026-07-05 22:35:04,bitcoin,Bitcoin,62650,-0.65463
2026-07-05 22:35:04,ethereum,Ethereum,1778.54,-0.57102
2026-07-05 22:35:04,solana,Solana,81.07,-1.55765
2026-07-05 22:35:04,cardano,Cardano,0.190226,-3.15162
2026-07-05 22:35:15,bitcoin,Bitcoin,62650,-0.65463
2026-07-05 22:35:15,ethereum,Ethereum,1778.54,-0.57102
2026-07-05 22:35:15,solana,Solana,81.07,-1.55765
2026-07-05 22:35:15,cardano,Cardano,0.190226,-3.15162
2026-07-05 22:35:27,bitcoin,Bitcoin,62640,-0.73566
2026-07-05 22:35:27,ethereum,Ethereum,1778.59,-0.58575
2026-07-05 22:35:27,solana,Solana,81.07,-1.55669
2026-07-05 22:35:27,cardano,Cardano,0.190157,-3.18649
2026-07-05 22:35:38,bitcoin,Bitcoin,62640,-0.73566
2026-07-05 22:35:38,ethereum,Ethereum,1778.59,-0.58575
2026-07-05 22:35:38,solana,Solana,81.07,-1.55669
2026-07-05 22:35:38,cardano,Cardano,0.190157,-3.18649
2026-07-05 22:35:48,bitcoin,Bitcoin,62640,-0.73566
2026-07-05 22:35:48,ethereum,Ethereum,1778.59,-0.58575
2026-07-05 22:35:48,solana,Solana,81.07,-1.55669
2026-07-05 22:35:48,cardano,Cardano,0.190157,-3.18649
